algoritmo,n_clusters,CH,Silhouette,tiempo,k,muestra,threshold,eps,min_samples,quantile,bandwidth
kmeans,2,11092.471464921871,0.3531618032303296,0.07467460632324219,2.0,,,,,,
kmeans,3,10779.357796796425,0.3750159580590287,0.061547040939331055,3.0,,,,,,
kmeans,4,10022.250415532237,0.3769439927234589,0.06544780731201172,4.0,,,,,,
kmeans,5,10150.802873329043,0.41199342933094185,0.07520818710327148,5.0,,,,,,
kmeans,6,10144.696382560503,0.4449203774603198,0.07585573196411133,6.0,,,,,,
kmeans,7,9629.215215427197,0.45758419032393904,0.12689876556396484,7.0,,,,,,
kmeans,8,9341.200176726243,0.4669937620344259,0.08954238891601562,8.0,,,,,,
agg_ward,2,1312.3331216639722,0.35312789130307404,0.11066246032714844,2.0,3000.0,,,,,
agg_ward,3,1219.5824941549222,0.34332893202189646,0.10878992080688477,3.0,3000.0,,,,,
agg_ward,4,1110.98754294347,0.37484608347381787,0.1103520393371582,4.0,3000.0,,,,,
agg_ward,5,1047.5211307766244,0.39133246870810884,0.10985302925109863,5.0,3000.0,,,,,
agg_ward,6,1063.0301913283392,0.4229419694331694,0.11182284355163574,6.0,3000.0,,,,,
agg_ward,7,1058.188861379026,0.43627191814032745,0.11669087409973145,7.0,3000.0,,,,,
agg_ward,8,1044.788634113498,0.46100308240858096,0.10944938659667969,8.0,3000.0,,,,,
birch,2,9696.119010974613,0.3331791559075464,0.23210620880126953,2.0,,0.5,,,,
birch,3,8336.478352954126,0.35984214791020047,0.2327587604522705,3.0,,0.5,,,,
birch,4,7214.585463301613,0.38863998608517103,0.23311519622802734,4.0,,0.5,,,,
birch,5,5920.867352815118,0.3763916370692678,0.2323312759399414,5.0,,0.5,,,,
birch,6,7235.6037827521795,0.4027605656084377,0.23234987258911133,6.0,,0.5,,,,
birch,7,6742.092802789534,0.3853296927346022,0.23103857040405273,7.0,,0.5,,,,
birch,8,5891.01467925561,0.3877504033483704,0.2544219493865967,8.0,,0.5,,,,
dbscan,111,17448.62092073748,0.5327293702181374,1.9277849197387695,,,,0.2,20.0,,
dbscan,65,25133.42580923152,0.5516917788743958,1.98563551902771,,,,0.2,50.0,,
dbscan,57,16167.958093367833,0.7784401162244822,2.236395835876465,,,,0.3,20.0,,
dbscan,45,20076.09598118957,0.7794893712666422,2.206766366958618,,,,0.3,50.0,,
dbscan,57,16126.651485068882,0.7774147038576793,2.2848501205444336,,,,0.4,20.0,,
dbscan,45,20014.060331490968,0.7764106851787216,2.2802860736846924,,,,0.4,50.0,,
dbscan,44,2152.2069788086656,0.42182903863612337,2.275850772857666,,,,0.5,20.0,,
dbscan,32,2852.07060377823,0.44078114723550355,2.27506160736084,,,,0.5,50.0,,
meanshift,75,1505.6792011063872,0.7738725444907689,0.293811559677124,,3000.0,,,,0.1,0.769560262592042
meanshift,4,1046.017915922431,0.40153539817680206,0.4362149238586426,,3000.0,,,,0.2,1.2441534087990236
meanshift,3,909.6557498788789,0.3781275659670912,0.49907350540161133,,3000.0,,,,0.3,1.407029643170308
