feature,importance_mean
Place_ID,26.01222855813907
L3_CO_CO_column_number_density,5.977231223191933
v_component_of_wind_10m_above_ground,3.7404757371627633
u_component_of_wind_10m_above_ground,3.6357141576744274
temperature_2m_above_ground,3.1418244885184294
L3_NO2_NO2_slant_column_number_density,3.0889576562974623
L3_AER_AI_sensor_altitude,3.0819304140839754
relative_humidity_2m_above_ground,2.00913379168858
specific_humidity_2m_above_ground,1.9866476008398224
L3_NO2_NO2_column_number_density,1.8482629752104434
L3_HCHO_tropospheric_HCHO_column_number_density,1.8346461348838008
L3_O3_O3_column_number_density,1.7491947056472639
L3_NO2_tropopause_pressure,1.4928060243001386
precipitable_water_entire_atmosphere,1.4898555647543401
day,1.4557844410504894
doy_sin,1.3654334955578833
dayofyear,1.343896823674795
L3_CLOUD_surface_albedo,1.3392191710895194
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.312951702838172
doy_cos,1.250892416008078
L3_CLOUD_cloud_optical_depth,1.2265586385605542
L3_O3_O3_effective_temperature,1.2166475510934025
L3_AER_AI_absorbing_aerosol_index,1.0897084742082723
L3_AER_AI_solar_zenith_angle,1.088179277653462
L3_HCHO_HCHO_slant_column_number_density,1.0254364706827395
L3_NO2_sensor_altitude,1.0192598715726433
L3_CO_H2O_column_number_density,0.9906781329662154
L3_NO2_stratospheric_NO2_column_number_density,0.9793636266506036
L3_CLOUD_solar_zenith_angle,0.9690677771898084
L3_O3_solar_zenith_angle,0.9497821376989062
month,0.9039085254909592
L3_CO_sensor_altitude,0.8597371605092213
L3_NO2_tropospheric_NO2_column_number_density,0.8296294684320069
L3_NO2_solar_zenith_angle,0.8123220573018715
L3_SO2_absorbing_aerosol_index,0.7756410765197874
weekofyear,0.7643609363022004
L3_SO2_SO2_column_number_density_amf,0.727315835326683
L3_CO_cloud_height,0.6951754933681281
L3_NO2_cloud_fraction,0.6447145478168238
L3_CLOUD_cloud_fraction,0.631030057800895
L3_CO_solar_zenith_angle,0.6140953023254289
L3_O3_cloud_fraction,0.6092913567363962
dayofweek,0.5959174353657753
L3_CLOUD_cloud_base_pressure,0.5906115181088579
L3_SO2_solar_zenith_angle,0.5832881970651422
L3_HCHO_cloud_fraction,0.5673327228042844
L3_CLOUD_cloud_top_pressure,0.546252866536441
L3_NO2_absorbing_aerosol_index,0.5319663626474465
L3_CLOUD_cloud_base_height,0.47412220521008897
L3_HCHO_solar_zenith_angle,0.42973997887638504
L3_SO2_cloud_fraction,0.41279102892317504
L3_NO2_solar_azimuth_angle,0.37971037748651615
L3_CLOUD_cloud_top_height,0.34276558984007016
L3_CO_solar_azimuth_angle,0.3225272015844232
L3_CO_sensor_zenith_angle,0.3036005019006666
L3_SO2_sensor_zenith_angle,0.3000985013284123
L3_CH4_sensor_zenith_angle,0.29334014089810545
L3_AER_AI_solar_azimuth_angle,0.2885387616037995
L3_NO2_sensor_zenith_angle,0.2786683370656756
L3_CO_sensor_azimuth_angle,0.27152741035691486
L3_NO2_sensor_azimuth_angle,0.25370606039369886
L3_CH4_sensor_azimuth_angle,0.24181011962036308
L3_CH4_solar_zenith_angle,0.23929340906977115
L3_HCHO_sensor_zenith_angle,0.23517303180183474
L3_SO2_SO2_slant_column_number_density,0.2254119561340353
L3_SO2_SO2_column_number_density,0.22504026183307063
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.21335293541457445
L3_AER_AI_sensor_zenith_angle,0.21206688581601849
L3_SO2_solar_azimuth_angle,0.19902171323169293
L3_O3_sensor_zenith_angle,0.175520899952256
L3_O3_solar_azimuth_angle,0.1750932342547733
L3_CLOUD_solar_azimuth_angle,0.17315201572904898
L3_CH4_solar_azimuth_angle,0.16548921563353686
L3_HCHO_solar_azimuth_angle,0.1579606017968524
L3_CLOUD_sensor_zenith_angle,0.15467339480411252
L3_AER_AI_sensor_azimuth_angle,0.133658439007249
L3_CH4_aerosol_height,0.11845599933226025
L3_O3_sensor_azimuth_angle,0.11698776400804474
L3_CH4_aerosol_optical_depth,0.1102423093320281
is_weekend,0.10794746047128671
L3_CLOUD_sensor_azimuth_angle,0.10037994620709376
L3_SO2_sensor_azimuth_angle,0.09334875909724062
L3_HCHO_sensor_azimuth_angle,0.08042359063857797
year,0.0
