feature,importance_gain_mean
Place_ID,731926785.9989942
L3_CO_CO_column_number_density,59601027.5952559
dayofyear,51057145.14445887
L3_NO2_NO2_slant_column_number_density,29617765.311910342
v_component_of_wind_10m_above_ground,28326299.15993781
u_component_of_wind_10m_above_ground,28012321.16753869
L3_AER_AI_sensor_altitude,24516467.79691453
L3_NO2_NO2_column_number_density,20266900.42656083
L3_HCHO_tropospheric_HCHO_column_number_density,18609065.46909318
temperature_2m_above_ground,18259423.69808998
specific_humidity_2m_above_ground,15877527.607912254
relative_humidity_2m_above_ground,13301355.557475233
L3_HCHO_HCHO_slant_column_number_density,11150295.998699855
L3_O3_O3_column_number_density,11076683.46238451
L3_CLOUD_surface_albedo,10382760.545663262
precipitable_water_entire_atmosphere,9634963.312721824
L3_NO2_tropopause_pressure,9154487.309495639
L3_O3_O3_effective_temperature,9098974.502809858
L3_CLOUD_cloud_optical_depth,8991736.02149577
L3_NO2_sensor_altitude,8855761.124620294
L3_NO2_tropospheric_NO2_column_number_density,8296421.922414685
month,8235142.265285397
L3_SO2_absorbing_aerosol_index,8120323.991392136
doy_sin,8032482.736356258
L3_CO_H2O_column_number_density,8025114.07373972
day,7906110.914795494
L3_HCHO_tropospheric_HCHO_column_number_density_amf,7710736.037610913
L3_NO2_stratospheric_NO2_column_number_density,7603061.795425939
L3_CO_sensor_altitude,7343904.080647516
L3_AER_AI_absorbing_aerosol_index,6873789.355686379
L3_CO_solar_zenith_angle,6583029.093926907
L3_NO2_solar_zenith_angle,5534865.121370697
L3_NO2_absorbing_aerosol_index,5341854.785629844
L3_SO2_SO2_column_number_density_amf,5299386.899537707
L3_NO2_cloud_fraction,5045172.644638682
L3_CLOUD_cloud_base_height,4634154.984109974
L3_O3_solar_zenith_angle,4518821.798463726
L3_CO_cloud_height,4438453.722195196
L3_HCHO_cloud_fraction,4194071.9914585114
L3_CLOUD_cloud_top_pressure,3679369.459514427
L3_CO_sensor_azimuth_angle,3647518.2897054674
L3_SO2_solar_zenith_angle,3555771.0413915156
L3_HCHO_solar_zenith_angle,3467015.364118385
L3_CLOUD_cloud_base_pressure,3349709.800195551
L3_SO2_SO2_column_number_density,3309956.719549179
L3_SO2_cloud_fraction,3297390.73201046
L3_AER_AI_solar_zenith_angle,3210402.499161911
L3_CLOUD_cloud_top_height,3144860.2921004295
dayofweek,3002242.5389629365
L3_CLOUD_cloud_fraction,2999230.02518034
L3_CLOUD_solar_zenith_angle,2950646.6097030165
L3_SO2_SO2_slant_column_number_density,2943355.7141483785
L3_O3_cloud_fraction,2913380.5815444947
L3_CO_solar_azimuth_angle,2840221.282341671
L3_HCHO_solar_azimuth_angle,2825313.7596341134
L3_NO2_solar_azimuth_angle,2686201.9727217676
doy_cos,2442199.5826268196
L3_CO_sensor_zenith_angle,2270550.3238121034
L3_NO2_sensor_azimuth_angle,2170950.5395593643
L3_NO2_sensor_zenith_angle,2169269.883872652
L3_SO2_solar_azimuth_angle,2119772.271476793
L3_O3_solar_azimuth_angle,1921652.3330484391
L3_HCHO_sensor_zenith_angle,1866531.7146831513
L3_CH4_aerosol_height,1811675.8808798313
L3_SO2_sensor_zenith_angle,1706800.1641723155
L3_CH4_sensor_zenith_angle,1558432.506359291
L3_AER_AI_solar_azimuth_angle,1455025.3795615672
L3_O3_sensor_zenith_angle,1454118.947330761
L3_HCHO_sensor_azimuth_angle,1441710.8234111308
L3_SO2_sensor_azimuth_angle,1311107.0483994961
L3_CH4_solar_azimuth_angle,1235498.977253151
L3_O3_sensor_azimuth_angle,1229862.974952507
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,1212244.9845159054
L3_CLOUD_solar_azimuth_angle,1188794.0745418072
L3_CH4_solar_zenith_angle,1059180.9835689068
L3_CH4_aerosol_optical_depth,950398.0636730671
L3_CLOUD_sensor_zenith_angle,880022.8662917137
L3_AER_AI_sensor_zenith_angle,839374.5784626007
L3_CLOUD_sensor_azimuth_angle,698485.5233298301
L3_CH4_sensor_azimuth_angle,609405.4240649224
weekofyear,536977.1966223717
L3_AER_AI_sensor_azimuth_angle,519534.1677459717
is_weekend,73335.27114868164
year,0.0
